,fordward,backward,date
time,0.2797328925546928,0.2810427878967947,2000-11-18
alt,79.03008826719166,78.99835748474963,2000-11-18
time,0.38884399221422056,0.39125104218525886,2001-01-23
alt,88.29183839682479,88.25670216793604,2001-01-23
time,0.37626675894990613,0.3783219475478409,2001-04-22
alt,77.98166442200765,77.93233508063605,2001-04-22
time,0.35271053255038776,0.36452070002800613,2001-10-18
alt,80.26086399115167,80.06253814192702,2001-10-18
time,0.3445907548649425,0.3483450908468025,2002-02-07
alt,84.70160679712968,84.67363979273684,2002-02-07
time,0.34869113473062135,0.34985190718882664,2003-02-05
alt,79.78357318338848,79.75923887230293,2003-02-05
time,0.3494417221633664,0.3544309514298631,2003-04-28
alt,79.28711698043946,79.16331221979097,2003-04-28
time,0.36451706742470635,0.36735522778438,2003-07-22
alt,82.21505431135833,82.18333563188142,2003-07-22
time,0.29771443455268753,0.2991141607366703,2003-10-21
alt,78.20476497996721,78.16076653504444,2003-10-21
time,0.340953388367165,0.34448331024155754,2003-10-22
alt,81.67667385687541,81.60466356383637,2003-10-22
time,0.38440260818602134,0.3914480694016453,2003-10-26
alt,80.80427785094288,80.67706715004961,2003-10-26
time,0.3450992535755595,0.3504035011883183,2004-09-14
alt,79.24593422997123,79.12536903418815,2004-09-14
time,0.3458691978856536,0.3508989375660394,2004-09-19
alt,77.60734660020348,77.44268169237841,2004-09-19
time,0.33683474185325085,0.3467523471786733,2005-03-08
alt,83.72176329173368,83.65196502880893,2005-03-08
time,0.3393806031081753,0.34466973805333834,2005-10-28
alt,79.34428905897482,79.18228905897486,2005-10-28
time,0.3312060944926025,0.34792549298444114,2006-05-28
alt,84.52468622614907,84.40685964742458,2006-05-28
time,0.276809634428613,0.282031444306685,2008-01-08
alt,80.04700202172465,79.93191294972351,2008-01-08
time,0.3631985288707483,0.36635163697199497,2008-02-02
alt,83.57522736040474,83.54015945272094,2008-02-02
time,0.4015209535359764,0.4066920609019167,2008-06-08
alt,89.76469151273093,89.70932039666688,2008-06-08
time,0.33975797301576754,0.36064689326484667,2008-11-24
alt,85.4202733654127,85.3364554394157,2008-11-24
time,0.3222506239142914,0.3229591718725506,2009-03-20
alt,77.14008541070518,77.11855746654412,2009-03-20
time,0.32826404601466835,0.3309094895191645,2009-03-22
alt,80.13045566190934,79.96849287597736,2009-03-22
time,0.3135484124885836,0.31417451564768023,2009-03-30
alt,69.26898505468597,69.24198866209109,2009-03-30
time,0.35127604292457226,0.3560833815791947,2009-06-21
alt,73.98474555166668,73.84749142089419,2009-06-21
time,0.38264025483528635,0.39165430455305195,2009-07-16
alt,91.82904189898063,91.76302221072079,2009-07-16
